Aeroporto,Anno,Periodo,Zona,Pass_Arrivo,Pass_Partenza
Olbia,2016,S2,02,64590,54323
Olbia,2016,S2,04,5719,4652
Alghero,2016,S3,03 + 04,31991,30225
Alghero,2016,S3,02,28955,25117
Alghero,2016,S3,12,11679,11458
Alghero,2016,S3,13 + 14,14318,12975
Alghero,2016,S3,11,2100,1346
Olbia,2016,S3,04,12317,10651
Olbia,2016,S3,12,23629,21872
Olbia,2016,S3,11,42441,36175
Olbia,2016,S3,14,37322,34307
Olbia,2016,S3,13,34425,31425
Olbia,2016,S3,02,93990,85525
Olbia,2016,S3,03,30176,28044
Alghero,2016,S4,03 + 04,30592,32875
Alghero,2016,S4,12,12645,13356
Alghero,2016,S4,11,2712,2531
Alghero,2016,S4,02,27297,29667
Alghero,2016,S4,13 + 14,13356,14617
Olbia,2016,S4,02,94404,103601
Olbia,2016,S4,12,19666,21136
Olbia,2016,S4,14,34796,36944
Olbia,2016,S4,11,41501,48377
Olbia,2016,S4,03,33091,36846
Olbia,2016,S4,13,27516,29458
Olbia,2016,S4,04,16940,17572
Alghero,2016,S5,03 + 04,45957,51182
Alghero,2016,S5,02,34575,42003
Alghero,2016,S5,13 + 14,16410,17715
Alghero,2016,S5,12,13452,15404
Alghero,2016,S5,11,1669,1586
Olbia,2016,S5,04,6110,8123
Olbia,2016,S5,14,54900,63249
Olbia,2016,S5,13,35626,42515
Olbia,2016,S5,03,29873,36623
Olbia,2016,S5,11,24611,31469
Olbia,2016,S5,02,66216,85867
Olbia,2016,S5,12,17293,21630
Olbia,2016,W1,13 + 14,3459,1679
Alghero,2016,W1,03 + 04,56858,55760
Alghero,2016,W1,13 + 14,7823,7543
Olbia,2016,W1,03 + 04,24767,23793
Olbia,2016,W1,11 + 12,103,166
Olbia,2016,W1,02,28773,27723
Alghero,2016,W1,11 + 12,15128,15531
Alghero,2016,W1,02,38139,38949
Alghero,2016,W2,02,24834,25145
Alghero,2016,W2,03 + 04,39392,40115
Alghero,2016,W2,13 + 14,809,1412
Alghero,2016,W2,11 + 12,342,509
Olbia,2016,W2,13 + 14,2393,4374
Olbia,2016,W2,02,31078,30676
Olbia,2016,W2,03 + 04,21892,22912
Olbia,2015,S1,02,49271,43168
Olbia,2015,S1,04,1999,1785
Alghero,2015,S1,02,47388,44754
Alghero,2015,S1,12,18476,15736
Olbia,2015,S1,13,15060,11650
Alghero,2015,S1,11,12735,12516
Alghero,2015,S1,03 + 04,58431,55088
Olbia,2015,S1,14,36712,29306
Olbia,2015,S1,03,25373,23317
Alghero,2015,S1,13 + 14,23718,20948
Olbia,2015,S1,12,7850,5985
Olbia,2015,S1,11,16096,13669
Alghero,2015,S2,02,29389,26819
Olbia,2015,S2,13,18559,16592
Alghero,2015,S2,11,6234,5683
Alghero,2015,S2,03 + 04,31580,29568
Alghero,2015,S2,13 + 14,12405,11795
Olbia,2015,S2,12,12591,11039
Alghero,2015,S2,12,16864,15036
Olbia,2015,S2,03,21363,19364
Olbia,2015,S2,04,4639,3255
Olbia,2015,S2,02,55271,47923
Olbia,2015,S2,14,25932,25484
Olbia,2015,S2,11,14258,13284
Alghero,2015,S3,13 + 14,16330,14021
Olbia,2015,S3,03,32825,29895
Alghero,2015,S3,11,7185,6327
Alghero,2015,S3,12,18653,18495
Alghero,2015,S3,03 + 04,36417,32805
Olbia,2015,S3,14,29493,26295
Olbia,2015,S3,11,31740,25437
Alghero,2015,S3,02,35799,31304
Olbia,2015,S3,02,87890,77934
Olbia,2015,S3,12,19130,17319
Olbia,2015,S3,04,10121,8976
Olbia,2015,S3,13,29299,26709
Olbia,2015,S4,04,15017,15558
Alghero,2015,S4,03 + 04,35546,37059
Alghero,2015,S4,02,36524,38754
Olbia,2015,S4,02,89520,97195
Olbia,2015,S4,13,26187,28894
Olbia,2015,S4,03,32699,35699
Alghero,2015,S4,13 + 14,15866,16781
Olbia,2015,S4,11,31820,37324
Alghero,2015,S4,11,7361,7829
Alghero,2015,S4,12,16238,16879
Olbia,2015,S4,14,31124,32335
Olbia,2015,S4,12,16367,17775
Alghero,2015,S5,03 + 04,50433,56203
Olbia,2015,S5,14,41734,47909
Alghero,2015,S5,02,43230,52362
Olbia,2015,S5,03,25044,30916
Olbia,2015,S5,12,13470,16524
Olbia,2015,S5,11,17695,21207
Olbia,2015,S5,13,26455,33312
Alghero,2015,S5,12,18498,21387
Alghero,2015,S5,13 + 14,21985,24292
Alghero,2015,S5,11,10952,12148
Olbia,2015,S5,04,3595,5635
Olbia,2015,S5,02,54764,75018
Alghero,2015,W1,03 + 04,55768,56033
Olbia,2015,W1,11 + 12,388,395
Alghero,2015,W1,02,36367,37576
Olbia,2015,W1,02,27290,28796
Alghero,2015,W1,11 + 12,15062,15343
Olbia,2015,W1,13 + 14,3055,2011
Olbia,2015,W1,03 + 04,22573,22733
Alghero,2015,W1,13 + 14,7139,6844
Alghero,2015,W2,02,27198,26993
Alghero,2015,W2,11 + 12,10635,10721
Olbia,2015,W2,03 + 04,23275,24212
Olbia,2015,W2,11 + 12,2289,4631
Olbia,2015,W2,13 + 14,4386,8967
Alghero,2015,W2,03 + 04,38830,39945
Alghero,2015,W2,13 + 14,5478,6318
Olbia,2015,W2,02,30755,30207
Alghero,2014,S1,12,20949,17898
Alghero,2014,S1,13 + 14,22880,19962
Alghero,2014,S1,11,14878,13709
Olbia,2014,S1,14,31404,24859
Olbia,2014,S1,02,43894,41278
Olbia,2014,S1,03,26245,24973
Olbia,2014,S1,11,18241,15615
Alghero,2014,S1,02,44298,41444
Olbia,2014,S1,13,15183,11732
Olbia,2014,S1,04,1282,1178
Alghero,2014,S1,03 + 04,46997,45835
Olbia,2014,S1,12,8246,6780
Olbia,2014,S2,03,22188,20484
Olbia,2014,S2,11,13715,13986
Alghero,2014,S2,11,7235,6643
Olbia,2014,S2,02,54547,44134
Olbia,2014,S2,13,16125,15010
Alghero,2014,S2,02,29475,25569
Olbia,2014,S2,14,25840,24865
Alghero,2014,S2,12,15984,14171
Olbia,2014,S2,12,9286,8327
