stop_id,stop_name,stop_lat,stop_lon,stop_comune,stop_type
7499,Fermata di PALAU SCUOLE MEDIE-SUPERIORI,41.17832,9.391284,PALAU,Fermata Autobus
B_22155,Fermata di SILIGO VIA F.COSSIGA 5,40.577407,8.725257,SILIGO,Fermata Autobus
ASPO1091,Fermata di 1091 - Cimitero Berchiddeddu,40.81205,9.46082,OLBIA,Fermata Autobus
7030,Fermata di BONNANARO PIAZZA UMBERTO 6,40.5339,8.763484,BONNANARO,Fermata Autobus
B_61818,Fermata di SP 73 ROCCE SARDE,41.036956,9.484586,OLBIA,Fermata Autobus
B_61905,Fermata di BUDONI SAN SILVESTRO FR VIA PIO X,40.718684,9.674565,BUDONI,Fermata Autobus
ATPSS_486,"Fermata di Sp81, Lato Camping",40.816074,8.48538,SORSO,Fermata Autobus
B_22312,Fermata di ALGHERO VIA LIGURIA FR.POLISOCCORSO,40.581017,8.315619,ALGHERO,Fermata Autobus
B_7652,Fermata di CODRONGIANOS VIA CAGLIARI 4 CARABINIERI,40.654703,8.68093,CODRONGIANOS,Fermata Autobus
B_22219,Fermata di VIA PATTADA INCROCIO VIA GRIFONI,40.6686181,8.22818,SASSARI,Fermata Autobus
ATPSS_756,Fermata di Via Cesaraccio Fr. 16,40.747253,8.536589,SASSARI,Fermata Autobus
B_7817,Fermata di SA MELA,40.7922317,8.9638242,ERULA,Fermata Autobus
7121,Fermata di BASILICA SACCARGIA,40.67164,8.6886,CODRONGIANOS,Fermata Autobus
B_22314,Fermata di ALGHERO VIA MONTE D'OLLA 7,40.557153,8.327792,ALGHERO,Fermata Autobus
ATPSS_748,Fermata di Ss 291 Fr. 2/A,40.733274,8.514501,SASSARI,Fermata Autobus
ATPSS_5,Fermata di Via Rockefeller 18,40.716416,8.552836,SASSARI,Fermata Autobus
ATPSS_64,Fermata di Via Rockefeller Fr. 37,40.713159,8.556325,SASSARI,Fermata Autobus
B_7813,Fermata di MARTIS BIVIO STAZIONE ARST,40.7764345,8.7950245,MARTIS,Fermata Autobus
ATPSS_620,Fermata di Via De Martini Fr. 106,40.777818,8.506111,SASSARI,Fermata Autobus
ASPO576,Fermata di 576 - San Vittore Sa Istrana,40.95287,9.482,OLBIA,Fermata Autobus
B_61912,Fermata di TANAUNELLA SS 125-INCROCIO VIA TALAMONE,40.681305,9.727761,BUDONI,Fermata Autobus
B_7061,Fermata di TISSI VIA ITALIA 11,40.678798,8.563976,TISSI,Fermata Autobus
ATPSS_166,"Fermata di Via Paglietti, Dir. Centro",40.723916,8.575802,SASSARI,Fermata Autobus
B_6176,Fermata di SAN LEONARDO SS491-FRONTE VIGNE,40.9663325,9.2281779,CALANGIANUS,Fermata Autobus
B_7358,Fermata di SS 133 RUONI,41.226468,9.217853,SANTA TERESA GALLURA,Fermata Autobus
B_6155,Fermata di SP 14 MASCIONI,41.0535498,9.2658329,LUOGOSANTO,Fermata Autobus
ATPSS_45,Fermata di Via Deledda Fr. 145,40.736129,8.571013,SASSARI,Fermata Autobus
B_22099,Fermata di SP 81 MARINA DEI GINEPRI,40.841701,8.59954,SORSO,Fermata Autobus
ATPSS_574,Fermata di Sp18 117,40.735453,8.468788,SASSARI,Fermata Autobus
B_22275,Fermata di ALGHERO VIA DON MINZONI 100,40.574153,8.321825,ALGHERO,Fermata Autobus
ATPSS_234,Fermata di Via Carlo Felice 56,40.713677,8.587266,SASSARI,Fermata Autobus
ATPSS_31,"Fermata di Via Poligono, Fr. Autoparco",40.737351,8.563125,SASSARI,Fermata Autobus
B_61963,Fermata di SS 127 BADDARANA KM 18.300,40.886364,9.332798,TELTI,Fermata Autobus
L093-14789,Fermata di Via Palau 50,40.90577312,9.09765929,TEMPIO PAUSANIA,Fermata Autobus
B_7280,Fermata di TOTTUBELLA,40.6854164,8.3587529,SASSARI,Fermata Autobus
B_7307,Fermata di ALGHERO VIA SANT'AGOSTINO 10,40.557927,8.319563,ALGHERO,Fermata Autobus
B_7789,Fermata di AREA COINCIDENZA B,40.4939,9.1474357,BENETUTTI,Fermata Autobus
ASPO962,Fermata di 962 - V.le P.Istana C.Ceraso,40.89118,9.59454,OLBIA,Fermata Autobus
ATPSS_138,"Fermata di Via Budapest 30, Distributore",40.71425,8.552021,SASSARI,Fermata Autobus
B_7581,Fermata di SS 125 KM 299 FR VACCILEDDI,40.847392,9.647616,LOIRI PORTO SAN PAOLO,Fermata Autobus
202039,Fermata di V.Luigi Satta n. 1,40.587392,8.998818,OZIERI,Fermata Autobus
B_7350,Fermata di OSSI PIAZZA DEL POPOLO,40.674201,8.592853,OSSI,Fermata Autobus
ASPO914,Fermata di 914 - P.Istana fr.Arcob.,40.89414,9.60533,OLBIA,Fermata Autobus
B_63312,Fermata di SS 127 LA GRANISA,40.9148725,9.1679964,CALANGIANUS,Fermata Autobus
ASPO836,Fermata di 836 - Via Gran Bretagna civ.19,40.91447,9.48822,OLBIA,Fermata Autobus
800195,Fermata di Bivio Berchidda,40.7830865767,9.16891336717,BERCHIDDA,Fermata Autobus
ATPSS_708,Fermata di Z.I. P.N. Str. 6 Fermata 1,40.740397,8.532438,SASSARI,Fermata Autobus
B_22063,Fermata di CAMPANEDDA SP 42 KM 8 CIVICO 41,40.749133,8.333159,SASSARI,Fermata Autobus
7318,Fermata di BIVIO URI,40.64226,8.512934,URI,Fermata Autobus
B_7012,Fermata di ARZACHENA IST. ALBERGHIERO,41.07434,9.3825,ARZACHENA,Fermata Autobus
ATPSS_505,Fermata di Sv Baddelonga 1,40.786388,8.517346,SASSARI,Fermata Autobus
800056,Fermata di Perfugas (Via San Giorgio),40.834408,8.881737,PERFUGAS,Fermata Autobus
